global_step,iteration,policy_loss,value_loss,compensator_loss,mean_u_cbf_batch,max_u_cbf_batch,cbf_active_frac,explained_variance,approx_kl,nom_rmse,gp_rmse,nom_rmse_large,gp_rmse_large
3000,1,0.000146,512.369385,38.55817,4.926448,18.2948,0.4107,0.0053,0.00042,0.863676,0.050485,0.668767,0.052562
6000,2,-0.001832,333.979858,5.336215,0.923578,13.3256,0.1393,-0.0044,0.00177,0.287807,0.080807,0.300209,0.08315
9000,3,-0.004108,297.720398,0.865783,0.149167,10.7252,0.0357,-0.0175,0.00285,0.207524,0.091308,0.229345,0.095396
12000,4,-0.015172,252.232651,0.252297,0.038326,9.0986,0.0063,-0.0329,0.005974,0.218361,0.085764,0.228064,0.085773
15000,5,-0.004092,238.348648,0.012294,0.002412,6.111,0.001,-0.0274,0.002354,0.20636,0.092536,0.210452,0.093983
18000,6,0.00652,303.083313,0.217581,0.041376,9.917,0.012,-0.0214,0.004298,0.21816,0.094395,0.21816,0.094395
21000,7,0.00291,237.96666,0.304447,0.061054,8.8284,0.017,-0.0301,0.001486,0.216624,0.089431,0.227992,0.088448
24000,8,0.000381,158.568771,0.044402,0.005377,9.7687,0.0007,-0.0391,0.003828,0.207065,0.088542,0.223089,0.08596
27000,9,-0.000942,196.723343,0.03949,0.009588,5.6833,0.0033,-0.0365,0.003735,0.227817,0.091056,0.227817,0.091056
30000,10,-0.008134,132.102295,0.072557,0.008233,12.9167,0.0013,-0.0405,0.004698,0.21245,0.089422,0.220376,0.089855
33000,11,-0.000258,70.622139,0.013139,0.002143,6.4299,0.0003,-0.0407,0.002882,0.186683,0.090712,0.203424,0.089435
36000,12,-0.007513,115.458099,0.014937,0.002329,6.9878,0.0003,-0.035,0.00438,0.208886,0.091675,0.212117,0.091734
39000,13,-0.001451,91.441719,0.017004,0.003329,6.3084,0.0007,-0.0356,0.005682,0.196778,0.092998,0.225747,0.098469
42000,14,0.000937,63.80735,0.0,0.0,0.0,0.0,-0.0396,0.001819,0.178016,0.090397,0.18528,0.079085
45000,15,0.000624,53.947945,0.0,0.0,0.0,0.0,-0.0384,0.001923,0.185294,0.091648,0.189663,0.093569
48000,16,-0.01196,37.196148,0.0,0.0,0.0,0.0,-0.0397,0.00341,0.197368,0.096744,0.209719,0.09477
51000,17,-0.000964,41.984238,0.00804,0.001706,5.117,0.0003,-0.0391,0.002859,0.174013,0.089306,0.186978,0.088102
54000,18,-0.006294,23.615393,0.082044,0.006587,16.0117,0.0007,-0.0389,0.001268,0.177055,0.092302,0.231953,0.088975
57000,19,-0.000313,28.397533,2e-06,0.0,0.0,0.0,-0.0344,0.002,0.167321,0.093248,0.242579,0.091862
60000,20,0.006966,16.569197,0.005696,0.001476,4.4284,0.0003,-0.0357,0.005051,0.170715,0.094541,0.210493,0.089662
63000,21,-0.000749,16.738384,0.0,0.0,0.0,0.0,-0.0338,0.000383,0.164202,0.093002,0.205335,0.094434
66000,22,-0.001288,50.098743,0.0,0.0,0.0,0.0,-0.0365,0.002897,0.18373,0.094414,0.226795,0.084004
69000,23,-0.000915,18.047136,0.027536,0.003419,9.2062,0.0007,-0.039,0.002371,0.16219,0.089697,0.357753,0.092409
72000,24,-0.011915,19.788973,0.01504,0.002358,7.0754,0.0003,-0.0344,0.004532,0.178177,0.092119,0.196654,0.088517
75000,25,-0.005162,9.349463,0.001526,0.000729,2.1881,0.0003,-0.031,0.00272,0.153614,0.090992,,
78000,26,-0.000757,7.651664,0.005507,0.001438,4.3145,0.0003,-0.0327,0.001735,0.150917,0.089531,0.243802,0.091191
81000,27,0.001421,9.944327,0.0,0.0,0.0,0.0,-0.0184,0.003861,0.178193,0.09557,0.20871,0.095172
84000,28,0.002046,5.164128,0.006457,0.001616,4.8481,0.0003,-0.0183,0.00277,0.155853,0.094418,0.243225,0.08828
87000,29,-0.00422,4.771612,0.0,0.0,0.0,0.0,0.0143,0.000873,0.147803,0.092561,,
90000,30,-0.005963,2.986788,0.0,0.0,0.0,0.0,0.0477,0.001249,0.154419,0.091945,0.278654,0.020108
93000,31,-0.000129,6.041691,0.016241,0.002451,7.3542,0.0003,0.0544,0.003851,0.158463,0.093973,,
96000,32,-0.00236,5.543482,0.0,0.0,0.0,0.0,0.1157,0.001993,0.164355,0.089124,0.206483,0.097856
99000,33,-0.007419,3.619303,0.0,0.0,0.0,0.0,0.1607,0.002022,0.152946,0.090048,,
102000,34,0.002135,2.377885,0.0,0.0,0.0,0.0,0.1401,0.001705,0.154009,0.091813,0.169802,0.075552
105000,35,-0.005296,3.49063,0.013538,0.002274,6.8211,0.0003,0.2628,0.005395,0.14803,0.091455,0.219887,0.102533
108000,36,-0.010967,2.403039,0.0,0.0,0.0,0.0,0.1752,0.001318,0.144066,0.085794,0.19032,0.093174
111000,37,0.000321,2.755204,0.003458,0.001143,3.4296,0.0003,0.4853,0.00168,0.150217,0.092923,0.216934,0.096966
114000,38,-0.002076,2.377804,0.0,0.0,0.0,0.0,0.2848,0.002407,0.144572,0.090467,0.156884,0.132546
117000,39,0.002093,1.588014,0.0,0.0,0.0,0.0,0.2707,0.002646,0.145603,0.089482,,
120000,40,-0.002682,1.118095,0.0,0.0,0.0,0.0,0.5758,0.002745,0.130853,0.083154,0.139013,0.058688
123000,41,-0.003068,1.71532,0.0,0.0,0.0,0.0,-0.0079,0.003484,0.127031,0.082969,,
126000,42,-0.002144,1.369241,0.002904,0.002637,3.5323,0.001,0.5634,0.002911,0.140155,0.084533,0.212101,0.087137
129000,43,-0.003271,2.639218,0.00301,0.001333,3.9991,0.0003,0.4271,0.002462,0.150134,0.090394,0.173391,0.080837
132000,44,-0.003096,1.689793,0.0,0.0,0.0,0.0,0.5161,0.006126,0.144713,0.088049,0.170253,0.086861
135000,45,-0.005159,1.162182,0.0,0.0,0.0,0.0,0.3655,0.004202,0.142812,0.085125,,
138000,46,-0.00974,1.309107,0.005617,0.001999,4.8295,0.0007,0.4712,0.003981,0.155174,0.085742,0.266476,0.079276
141000,47,-0.000987,0.590071,1e-06,0.0,0.0,0.0,0.5965,0.000878,0.140997,0.08771,0.397697,0.090563
144000,48,-0.006355,1.093446,0.0,0.0,0.0,0.0,0.6016,0.002415,0.139842,0.084778,0.184651,0.084302
147000,49,-0.007456,0.951447,0.004062,0.001408,4.2235,0.0003,0.704,0.002347,0.139871,0.086445,,
150000,50,-0.009038,0.521037,0.0,0.0,0.0,0.0,0.8215,0.002979,0.149948,0.091001,1.055075,0.052297
153000,51,-0.007146,0.865478,0.015565,0.003042,7.5346,0.0007,0.7484,0.003028,0.143601,0.087733,0.166252,0.079471
156000,52,-0.00454,0.419988,0.000521,0.000565,1.6952,0.0003,0.8542,0.00161,0.140257,0.086526,0.318747,0.0739
159000,53,-0.002619,0.28799,0.000229,0.000453,1.3579,0.0003,0.8382,0.002441,0.13903,0.08737,0.483036,0.059325
162000,54,-0.002973,0.151386,8.7e-05,0.000225,0.674,0.0003,0.8485,0.003738,0.11896,0.081855,0.178115,0.077358
165000,55,0.003741,0.226807,0.000473,0.000924,1.5119,0.0007,0.8411,0.003769,0.130776,0.085662,0.232622,0.100598
168000,56,9.6e-05,0.162641,6.9e-05,0.000253,0.7577,0.0003,0.885,0.000382,0.139884,0.087939,0.367111,0.087822
171000,57,-0.003579,0.169283,2e-06,0.0,0.0,0.0,0.889,0.00243,0.128577,0.089153,0.181307,0.084027
174000,58,-0.014181,0.199404,0.00065,0.000656,1.4796,0.0007,0.8915,0.003653,0.136918,0.087032,0.405286,0.073547
177000,59,-0.001858,0.028922,1.9e-05,0.00012,0.3615,0.0003,0.9077,0.001876,0.120327,0.083995,0.134306,0.069137
180000,60,-0.008776,0.029402,0.000487,0.0,0.0,0.0,0.7943,0.004743,0.126156,0.084473,0.326393,0.061485
183000,61,-0.005111,0.05606,1e-06,5e-05,0.0998,0.0007,0.9151,0.001397,0.135699,0.086089,0.377982,0.072968
186000,62,0.000484,0.042484,0.0,0.0,0.0,0.0,0.8891,0.001012,0.111166,0.080761,0.327435,0.072836
189000,63,-0.00141,0.065517,0.0,0.0,0.0,0.0,0.892,0.001804,0.124697,0.082959,0.416163,0.0682
192000,64,-0.004288,0.013094,0.0,0.0,0.0,0.0,0.8883,0.000428,0.10856,0.076908,0.158247,0.059804
195000,65,-0.007492,0.00948,0.0,0.0,0.0,0.0,0.9167,0.003071,0.119511,0.084928,0.261383,0.073662
198000,66,-0.004683,0.060479,0.0,0.0,0.0,0.0,0.9278,0.002691,0.119931,0.085132,0.246449,0.080452
201000,67,-0.00354,0.032071,0.0,0.0,0.0,0.0,0.9301,0.001866,0.121138,0.078817,0.403202,0.059747
204000,68,9.6e-05,0.014669,2.4e-05,0.000157,0.4717,0.0003,0.8968,0.001406,0.119172,0.082382,0.060282,0.066019
207000,69,-0.004579,0.021776,3.2e-05,0.000163,0.49,0.0003,0.8954,0.002008,0.117385,0.080556,0.863423,0.052236
210000,70,-0.003005,0.0097,0.00017,0.000305,0.9152,0.0003,0.9554,0.000717,0.115386,0.078265,0.40904,0.101829
213000,71,0.00698,0.016181,0.0,0.0,0.0,0.0,0.8917,0.006579,0.117561,0.086151,0.140986,0.063971
216000,72,-0.003766,0.017209,0.000209,0.0,0.0,0.0,0.9157,0.003621,0.104028,0.077343,0.165327,0.069768
219000,73,0.00588,0.009879,0.0,0.0,0.0,0.0,0.937,0.004626,0.11027,0.079709,,
222000,74,-0.003608,0.008915,0.0,0.0,0.0,0.0,0.9035,0.004035,0.108736,0.077707,0.342664,0.042265
225000,75,0.005546,0.009041,0.0,0.0,0.0,0.0,0.9072,0.002635,0.105529,0.077406,0.157414,0.058027
228000,76,-0.011342,0.009301,1.3e-05,0.000253,0.76,0.0003,0.93,0.004039,0.104136,0.077256,0.389747,0.056973
231000,77,-0.010402,0.011646,0.0,0.0,0.0,0.0,0.9183,0.003126,0.108394,0.077041,0.293744,0.048746
234000,78,-0.006032,0.01003,0.0,0.0,0.0,0.0,0.9269,0.005794,0.101594,0.074767,0.155761,0.045147
237000,79,-0.009141,0.005796,0.000174,0.000664,1.2688,0.0007,0.9222,0.004069,0.10673,0.075166,0.649521,0.064805
240000,80,0.0065,0.006793,0.000128,0.0,0.0,0.0,0.8814,0.005413,0.108421,0.077016,0.361218,0.08489
243000,81,-0.004395,0.005748,0.0,0.0,0.0,0.0,0.9551,0.000347,0.105054,0.077599,0.153258,0.068214
246000,82,-0.007799,0.006721,0.000162,0.00029,0.8697,0.0003,0.961,0.005433,0.105594,0.07629,0.314722,0.063698
249000,83,0.002727,0.006571,0.0,5e-06,0.0158,0.0003,0.9348,0.003225,0.111078,0.075251,0.548447,0.033143
252000,84,-0.003441,0.005513,6e-06,0.000141,0.423,0.0003,0.9423,0.001749,0.103134,0.076954,0.202447,0.050432
255000,85,-0.013002,0.011013,0.000656,0.000572,0.94,0.0007,0.9444,0.001848,0.110336,0.074133,0.75289,0.061977
258000,86,-0.000336,0.004919,0.000647,0.000685,2.0545,0.0003,0.9056,0.004334,0.105117,0.07507,,
261000,87,-0.001178,0.005812,0.000188,0.000619,1.8575,0.0003,0.9564,0.002647,0.106832,0.074839,0.331454,0.056568
264000,88,-0.005417,0.004775,0.0,6.4e-05,0.1932,0.0003,0.9483,0.002463,0.097452,0.073761,0.207635,0.050818
267000,89,-0.005303,0.005317,1e-06,0.000111,0.3337,0.0003,0.9683,0.002165,0.100946,0.075314,0.159163,0.057528
270000,90,-0.003324,0.0062,6.9e-05,0.000334,1.0025,0.0003,0.9423,0.002487,0.09923,0.07367,0.233618,0.083097
273000,91,0.01543,0.003451,2e-06,7.6e-05,0.2276,0.0003,0.8642,0.003602,0.106625,0.074154,0.51308,0.053776
276000,92,0.001123,0.004315,2.3e-05,0.000163,0.4904,0.0003,0.9442,0.00244,0.105925,0.074874,0.309174,0.074095
279000,93,-5.4e-05,0.004292,1.5e-05,0.000465,1.3954,0.0003,0.9558,0.0002,0.108295,0.073419,0.481216,0.049407
282000,94,-0.003738,0.004983,0.0,0.0,0.0,0.0,0.8636,0.004175,0.102096,0.073992,0.415318,0.030609
285000,95,-0.002061,0.00461,0.000584,0.003018,3.5789,0.001,0.9691,0.000324,0.105016,0.073473,0.469393,0.046302
288000,96,-0.000326,0.004323,8.8e-05,0.0,0.0,0.0,0.9426,0.000163,0.102566,0.071678,0.596823,0.042857
291000,97,-0.002693,0.01026,1.5e-05,0.00033,0.6789,0.0007,0.9349,0.002401,0.09376,0.069146,0.230292,0.051242
294000,98,0.000339,0.00871,2.3e-05,0.000374,1.1229,0.0003,0.9432,9.9e-05,0.111094,0.073759,0.46172,0.060393
297000,99,0.00058,0.004747,0.0,0.0,0.0,0.0,0.905,0.00065,0.106543,0.073151,0.38215,0.056711
300000,100,0.000335,0.005014,6e-06,0.000194,0.5818,0.0003,0.9381,7e-05,0.107064,0.072575,0.372561,0.067576
